,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
U011,-216.98880004882812,106.75305099487305,-3.926605647802353,27.46057548522949,-2.2485303223133086,0.015887629985809327,-5.125426191091537,3.369044357538223,-2.545142114162445,-3.536542510986328,0.4281333193182945,-1.762537318468094,0.5211310476064682,2.3861814856529238,-4.351755309104919,3.622382818907499,-2.6336693167686462,0.13343784138560294,-1.838296103477478,1.6172890190035105,250.59928744675236,35.75578761110628,0.0183798479344953,0.08967128322519927,0.011940482584759594,5.030126457723798
U012,-141.670166015625,107.52198181152343,-20.777777671813965,22.24001016616821,-15.866552829742432,1.6590005964040757,-17.58553276062012,-0.5619867324829102,-13.554726314544677,-5.516807389259339,-5.535417652130127,-8.296670079231262,-3.812918782234192,-6.515391063690186,-6.52266161441803,-0.4511383086442947,-10.131811666488648,-0.993068790435791,-8.961336612701416,-4.140662431716919,202.1709329780604,31.493411162835837,0.025587080754457953,0.1083800179168242,0.019674699287861586,5.660768107222408
U013,-270.9904052734375,119.42987365722657,8.51025071144104,9.99542303085327,8.751164770126342,9.516899824142456,-2.184584126621485,6.181156611442566,0.6768592059612274,-1.3246275786310435,-0.4428748726844788,0.2669695496559143,-2.9294070482254027,2.499868741631508,5.561511206626892,2.787686377763748,-3.888588070869446,1.714638078585267,-1.8616204142570496,1.0192884787917138,259.1505634215029,70.83059624919011,0.023889615202078572,0.09623446608708322,0.014889661013148725,3.5819173577119976
U014,-188.87702484130858,107.15154418945312,-15.670392560958863,16.302489376068117,-1.9541543044149876,-2.5514516592025758,-25.75545463562012,-12.315725135803223,-9.100159549713135,-4.039025342464447,-8.76546516418457,-8.289243841171265,-7.496131157875061,-11.716371774673462,-10.718654441833497,-11.359257793426513,-10.246889066696166,-1.5055001556873322,-8.24362359046936,-8.501734209060668,214.76902941611644,25.813469566129793,0.03191783134018643,0.10250897904931151,0.020839723106473685,3.5185029196719007
U015,-188.0575378417969,134.74674377441406,-7.948129200935364,26.671677780151366,7.110949397087097,6.413840436935425,-6.6932647109031675,-10.509997296333314,-19.06760139465332,-10.909111785888673,-10.493105459213258,-6.385169625282288,-6.246525382995605,-6.716525459289551,-12.507706642150879,-8.69931960105896,-7.191696214675903,-7.672350168228149,-8.12888569831848,-0.9054835472255945,133.49222155789423,15.778101348473822,0.03276469046993946,0.17656884558581779,0.032209479436278346,5.52226346605956
U016,-143.88859939575195,116.29220199584961,3.5001588122919203,18.30455436706543,4.789275506138802,2.9191142141819,-8.33897306919098,-5.602251124382019,-8.819278669357299,-9.783591699600219,-12.788275146484375,-4.141666913032532,-3.142121298611164,-1.8571053862571716,-8.029553699493409,-0.43980579301714895,-5.6325350522995,-1.1650667071342469,-7.157008075714112,-0.4750912100076675,207.24504372992595,48.69247905461249,0.030597004994630216,0.1472102644255378,0.017514276970177888,3.5368309477274407
U017,-155.4817024230957,96.55666580200196,-10.40311803817749,20.08568639755249,-6.417952990531921,-4.866310501098633,-10.576141285896302,2.8272554874420166,-17.899317741394043,-11.93992247581482,-16.85098190307617,-3.32277170419693,-7.875865793228149,-0.9681677997112275,-6.614443373680115,-1.0593762934207915,-13.145508670806885,-0.8584386885166169,-9.54106969833374,-1.2208713755011558,204.3335368550088,34.785624235417124,0.02217446593214343,0.11056718385026945,0.015312715247273446,3.4611663176251826
U018,-205.32537689208985,99.24200286865235,0.424906986951828,28.758701705932616,1.5494505524635316,1.8939771890640258,0.011048060655593873,-3.20946397036314,3.659031927585602,-1.3386095270514489,-4.399984550476074,0.409219491481781,-5.494335114955902,4.9563698947429655,-4.4446858912706375,1.0931377172470094,-5.868178796768189,-1.5784579053521157,-4.342864751815796,0.39107930213212966,135.910157763015,40.6043948019325,0.027576458209211924,0.10260908337659876,0.01841481071896851,4.252635381808828
U019,-172.18349609375,102.68376312255859,-19.368286514282225,14.681334066390992,-4.086464899778366,-10.68070056438446,-29.76338768005371,-0.7472815394401551,-17.917645835876463,-7.793689584732055,-3.654361528158188,-5.5064358592033384,0.5776338595896959,-7.268935298919677,-6.717162704467773,-0.0070974893867969515,-6.043091583251953,-1.777721181511879,-2.5382060267031195,1.6658971352037042,252.57129892259928,42.068190785675725,0.020977503305747942,0.09546857584954556,0.02047207299619913,3.8050117422013585
U020,-298.6576461791992,70.61067924499511,10.627352330088616,12.425077438354492,-2.602481317520142,8.70939736366272,-1.4261274307966232,-3.290936654806137,-2.9258964151144027,-2.7891326427459715,-2.143742686510086,-1.4027918338775636,-1.0723204761743546,-1.2265531778335572,-0.46411813497543336,-1.7933196023106575,0.31722864508628845,0.007585609704256058,-0.8761467278003693,-0.3785593032836914,254.8561102462135,72.87860921166266,0.015703334899922032,0.07172860715238284,0.017794565483927726,4.695324274139868
